,Country,Name,URL
8811,US,University of California System,http://www.universityofcalifornia.edu/
8812,US,University of Central Arkansas,http://www.uca.edu/
8813,US,University of Central Florida,http://www.ucf.edu/
8814,US,University of Central Missouri,http://www.ucmo.edu/
8820,US,University of Cincinnati,http://www.uc.edu/
8821,US,University of Colorado at Boulder,http://www.colorado.edu/
8825,US,University of Connecticut,http://www.uconn.edu/
8830,US,University of Connecticut Health Center,http://www.uchc.edu/
8831,US,University of Dallas,http://www.udallas.edu/
8832,US,University of Dayton,http://www.udayton.edu/
8833,US,University of Delaware,http://www.udel.edu/
8834,US,University of Denver,http://www.du.edu/
8835,US,University of Detroit Mercy,http://www.udmercy.edu/
8836,US,University of Dubuque,http://www.dbq.edu/
8837,US,University of Evansville,http://www.evansville.edu/
8839,US,University of Florida,http://www.ufl.edu/
8840,US,University of Georgia,http://www.uga.edu/
8842,US,University of Hartford,http://www.hartford.edu/
8843,US,University of Hawaii - Hilo,http://www.uhh.hawaii.edu/
8848,US,University of Houston,http://www.uh.edu/
8852,US,University of Idaho,http://www.uidaho.edu/
8853,US,University of Illinois,http://www.uillinois.edu/
8854,US,University of Illinois at Chicago,http://www.uic.edu/
8855,US,University of Illinois at Springfield,http://www.uis.edu/
8857,US,University of Indianapolis,http://www.uindy.edu/
8858,US,University of Iowa,http://www.uiowa.edu/
8859,US,University of Kansas,http://www.ku.edu/
8860,US,University of Kentucky,http://www.uky.edu/
8862,US,University of Louisiana at Lafayette,http://www.louisiana.edu/
8863,US,University of Louisiana at Monroe,http://www.ulm.edu/
8864,US,University of Louisville,http://www.louisville.edu/
8866,US,"University of Maine, Farmington",http://www.umf.maine.edu/
8867,US,"University of Maine, Fort Kent",http://www.umfk.maine.edu/
8869,US,"University of Maine, Orono",http://www.umaine.edu/
8872,US,University of Management & Technology,http://www.umtweb.edu/
8873,US,University of Mary,http://www.umary.edu/
8874,US,University of Mary Hardin-Baylor,http://www.umhb.edu/
8875,US,University of Maryland at Baltimore,http://www.umbc.edu/
8876,US,University of Maryland at College Park,http://www.umd.edu/
8877,US,University of Maryland Baltimore County,http://www.umbc.edu/
8878,US,University of Maryland Eastern Shore,http://www.umes.edu/
8883,US,University of Massachusetts at Boston,http://www.umb.edu/
8884,US,University of Massachusetts at Dartmouth,http://www.umassd.edu/
8885,US,University of Massachusetts at Lowell,http://www.uml.edu/
8887,US,University of Massachusetts (System),http://www.massachusetts.edu/
8890,US,University of Miami,http://www.miami.edu/
8891,US,University of Michigan - Ann Arbor,http://www.umich.edu/
8892,US,University of Michigan - Dearborn,http://www.umd.umich.edu/
8895,US,University of Minnesota - Duluth,http://www.d.umn.edu/
8896,US,University of Minnesota - Morris,http://www.mrs.umn.edu/
8898,US,University of Mississippi,http://www.olemiss.edu/
8899,US,University of Mississippi Medical Center,http://www.umc.edu/
8900,US,University of Missouri - Columbia,http://www.missouri.edu/
8901,US,University of Missouri - Kansas City,http://www.umkc.edu/
8902,US,University of Missouri - Saint Louis,http://www.umsl.edu/
8904,US,University of Montana,http://www.umt.edu/
8907,US,University of Nebraska - Kearney,http://www.unk.edu/
8908,US,University of Nebraska - Lincoln,http://www.unl.edu/
8909,US,University of Nebraska Medical Center,http://www.unmc.edu/
